,SUSHI/USDT,BTS/USDT,INJ/USDT,RDNT/USDT,ZRX/USDT,HIGH/USDT,WAVES/USDT,SPELL/USDT,XTZ/USDT,BNB/USDT,DAR/USDT,HNT/USDT,JOE/USDT,ETC/USDT,XMR/USDT,ALICE/USDT,HOOK/USDT,REEF/USDT,BAT/USDT,DOGE/USDT,TRX/USDT,STORJ/USDT,SNX/USDT,XLM/USDT,IOTX/USDT,DASH/USDT,UMA/USDT,KAVA/USDT,RUNE/USDT,APE/USDT,BLUEBIRD/USDT,BNX/USDT,OP/USDT,KEY/USDT,DGB/USDT,SKL/USDT,FOOTBALL/USDT,TOMO/USDT,MTL/USDT,LTC/USDT,KSM/USDT,TRB/USDT,MANA/USDT,FLOW/USDT,CHR/USDT,GAL/USDT,USDC/USDT,OGN/USDT,RNDR/USDT,SC/USDT,STMX/USDT,KNC/USDT,SRM/USDT,BLUR/USDT,ENJ/USDT,ATOM/USDT,ENS/USDT,ATA/USDT,AGIX/USDT,IOST/USDT,HBAR/USDT,ZEC/USDT,IDEX/USDT,GALA/USDT,EDU/USDT,GTC/USDT,ALGO/USDT,LRC/USDT,STG/USDT,STX/USDT,ARPA/USDT,CELO/USDT,QNT/USDT,1INCH/USDT,T/USDT,LINA/USDT,AR/USDT,FIL/USDT,SOL/USDT,BLZ/USDT,COMBO/USDT,GMT/USDT,XVS/USDT,GMX/USDT,BAND/USDT,LDO/USDT,XRP/USDT,FTT/USDT,CRV/USDT,BEL/USDT,DOT/USDT,ONE/USDT,APT/USDT,ANKR/USDT,RAY/USDT,API3/USDT,CVC/USDT,ASTR/USDT,HOT/USDT,QTUM/USDT,IOTA/USDT,ADA/USDT,LIT/USDT,YFI/USDT,ETH/USDT,ALPHA/USDT,WOO/USDT,SFP/USDT,RLC/USDT,BTCST/USDT,1000XEC/USDT,FXS/USDT,CFX/USDT,AUDIO/USDT,ID/USDT,HFT/USDT,NEO/USDT,UNFI/USDT,SAND/USDT,CTK/USDT,LINK/USDT,MINA/USDT,CELR/USDT,RSR/USDT,REN/USDT,LPT/USDT,JASMY/USDT,PHB/USDT,EGLD/USDT,LUNA2/USDT,ONT/USDT,VET/USDT,IMX/USDT,LQTY/USDT,COTI/USDT,CVX/USDT,ARB/USDT,BAKE/USDT,GRT/USDT,FLM/USDT,MASK/USDT,EOS/USDT,BAL/USDT,COCOS/USDT,SUI/USDT,DENT/USDT,TRU/USDT,CKB/USDT,SSV/USDT,C98/USDT,ZEN/USDT,NEAR/USDT,BCH/USDT,1000SHIB/USDT,ANT/USDT,TLM/USDT,AAVE/USDT,ICP/USDT,1000LUNC/USDT,RAD/USDT,AVAX/USDT,MAGIC/USDT,ROSE/USDT,MATIC/USDT,MKR/USDT,PEOPLE/USDT,THETA/USDT,UNI/USDT,PERP/USDT,RVN/USDT,NKN/USDT,KLAY/USDT,DEFI/USDT,COMP/USDT,BTCDOM/USDT,BTC/USDT,OMG/USDT,ICX/USDT,1000PEPE/USDT,FET/USDT,LEVER/USDT,1000FLOKI/USDT,FTM/USDT,AMB/USDT,SXP/USDT,XEM/USDT,ZIL/USDT,AXS/USDT,DYDX/USDT,OCEAN/USDT,CHZ/USDT,DUSK/USDT,CTSI/USDT,ACH/USDT
UNI/USDT,0.811225242,0.433317624,0.657871957,0.716748558,0.722281232,0.80059052,0.69300052,0.784285236,0.711429697,0.713624443,0.673165014,0.492572762,0.724844118,0.739533344,0.629330503,0.769240749,0.719895815,0.665204002,0.762544472,0.641026545,0.57607288,0.665739624,0.685806977,0.705542548,0.702089239,0.728881803,0.896265529,0.622074553,0.823342794,0.687001061,0.809441875,0.643099602,0.679161333,0.549622161,0.72152381,0.673051492,0.599738724,0.585975326,0.604226713,0.743243213,0.731613839,0.482938093,0.700631282,0.696628777,0.765403536,0.666754224,0.156043778,0.688442952,0.620120665,0.236507765,0.695604507,0.673397344,0.356113001,0.765749118,0.748952819,0.742210343,0.720017852,0.69921392,0.651200006,0.723862344,0.681094181,0.737444808,0.721605232,0.622823333,0.558809164,0.626925353,0.738177025,0.723807777,0.505267061,0.595996025,0.539731082,0.66109708,0.642167224,0.690006894,0.723003985,0.597572126,0.657552772,0.613838599,0.70961452,0.644125174,0.823964452,0.717233194,0.875998143,0.729374274,0.582891775,0.642013721,0.626389319,0.409393728,0.75164261,0.622222395,0.774954632,0.731924369,0.687024934,0.590951377,0.581435521,0.674687338,0.568153412,0.831385429,0.717555267,0.737185326,0.768567711,0.766662029,0.476047385,0.67014718,0.78331257,0.63241912,0.684014001,0.604412802,0.522216059,,0.677559853,0.624540895,0.724777847,0.644811416,0.652935659,0.837278383,0.680979391,0.525110895,0.760469186,0.488356288,0.760511238,0.788298477,0.688605858,0.637170953,0.608125503,0.686104169,0.580450059,0.766597742,0.702528512,0.560694186,0.706145292,0.773355746,0.677875407,0.730770071,0.666915687,0.698548072,0.634334929,0.728571138,0.657744791,0.538718658,0.52527167,0.670951744,0.751094871,0.499764421,0.779737114,0.689086765,0.64578885,0.709127199,0.686016944,0.691738681,0.765999379,0.744809512,0.7434555,0.668903068,0.63078027,0.896369839,0.836310234,0.73880243,0.378411113,0.418366896,0.772650538,0.729264042,0.676899286,0.754628903,0.681688824,0.596031195,0.714155121,1,0.850257911,0.657806367,0.490128699,0.56039371,0.861313358,0.764507896,-0.495231334,0.742631982,0.642740825,0.663081339,0.546484963,0.586898055,0.769256404,0.904298825,0.693149815,0.610194568,0.580442937,0.582664927,0.726309372,0.687017665,0.662062967,0.589895342,0.594902817,0.561147355,0.630412239,0.718727454
1000FLOKI/USDT,0.900615453,,0.737917338,0.829543593,0.918516971,0.748291451,0.799521192,0.876692575,0.891625787,0.824253952,0.884187149,,0.739701455,0.884815247,0.767431995,0.903009249,0.896666006,0.921693047,0.915237892,0.880447721,0.580967289,0.732554797,0.76038134,0.74856635,0.807254895,0.876385575,0.907836851,0.6648732,0.891518678,0.794122698,0.88622375,0.899142892,0.795575551,0.577561432,0.887372049,0.87921937,0.845651008,0.625044888,0.414649502,0.798517647,0.896679775,0.895502061,0.844130324,0.91904999,0.863979193,0.914954664,0.17811055,0.900583448,0.561118713,,0.881956525,0.940527503,,0.85422262,0.885699421,0.844008808,0.899211933,0.9220848,0.827661979,0.922396757,0.838499117,0.892446521,0.681840272,0.879134486,0.734004858,0.882971823,0.859397142,0.901569267,0.853443049,0.563860776,0.359425518,0.891295328,0.633123192,0.914702181,0.882386096,0.574832431,0.916729192,0.912065981,0.870107571,0.919990967,0.885743959,0.842034968,0.901842878,0.805291469,0.919322721,0.553838953,0.726785597,,0.854639637,0.823613972,0.920035711,0.904250378,0.913296379,0.905218098,,0.885748686,,0.905550979,0.918470982,0.898753553,0.823969112,0.81346098,0.891807271,0.867904671,0.779345691,0.543437535,0.77127324,0.856937554,0.750292291,,0.872819499,0.735834061,0.794490342,0.91416777,0.911865595,0.918024615,0.857931724,0.891906511,0.879922417,0.815227359,0.878312136,0.915240972,0.81854571,0.857241291,0.832216311,0.836113088,0.484852999,0.715505948,0.872014781,0.873421248,0.840297644,0.876948206,0.83620373,0.860057765,0.871339797,0.860491515,0.828706105,0.919607479,0.817933681,0.932884819,0.729823238,0.86086655,0.801598985,0.20775899,0.856270166,0.927386126,0.719531572,0.895057667,0.775332918,0.907880577,0.911380558,0.896651542,0.750871426,0.883004806,0.846546827,0.897267058,0.90668992,0.864992375,0.627395657,0.451191346,0.898798716,0.871292892,0.897982955,0.842543988,0.821772476,0.861215434,0.91356215,0.904298825,0.914413048,0.895017029,0.747908918,0.732283683,0.921498003,0.89002008,-0.50388435,0.702206527,0.861020444,0.887783484,0.67606017,0.862825219,0.848657935,1,0.893692879,0.557339108,0.845423115,0.886016971,0.921645221,0.870653215,0.886820833,0.789968519,0.885988609,0.887892297,0.720035612,0.760938158
UMA/USDT,0.91911423,,0.780160167,0.854297234,0.88218182,0.704688401,0.734481037,0.888346601,0.89067347,0.773515793,0.898052227,,0.763185197,0.937916396,0.793153418,0.897423534,0.877208982,0.87939471,0.917630564,0.881707753,0.599733419,0.769969091,0.776678331,0.801317044,0.789463123,0.892183662,1,0.657648103,0.905570739,0.792044833,0.859750475,0.883999916,0.798740188,0.462544021,0.904877125,0.87704877,0.779577408,0.541207789,0.316085904,0.798351953,0.914379426,0.887905617,0.840296567,0.921454642,0.846125439,0.89113467,0.434830118,0.89935038,0.534642349,,0.876672351,0.919039137,,0.844120146,0.853430004,0.82394371,0.912819019,0.903529871,0.745345258,0.899247872,0.881739927,0.908672046,0.670021365,0.844995965,0.699084178,0.88430655,0.837219231,0.866443007,0.774149366,0.86198023,0.26962712,0.834364263,0.598728712,0.853435476,0.908281668,0.47324221,0.942747218,0.910604373,0.828321107,0.903135037,0.820719527,0.882054028,0.902948861,0.827548622,0.872312852,0.609920554,0.756341513,,0.871738394,0.757568078,0.923256685,0.892555798,0.895767331,0.916955518,,0.821915508,,0.874555572,0.890189772,0.871379773,0.869745729,0.813910064,0.882928856,0.928890975,0.778937628,0.634423862,0.832799569,0.863554756,0.836017453,,0.908833796,0.74895054,0.708144185,0.879342215,0.888670124,0.864761731,0.794058928,0.921745951,0.864350456,0.854186016,0.88943469,0.906675337,0.781409879,0.845744002,0.886031626,0.793638762,0.779735298,0.750789606,0.888656925,0.869634287,0.842022057,0.84692632,0.832229272,0.829480343,0.798696372,0.876431387,0.739316222,0.875142085,0.825315383,0.892145931,0.709976873,0.902828338,0.827016375,0.115912814,0.884998522,0.936848419,0.771197416,0.84682125,0.766035553,0.890108571,0.905456748,0.827209033,0.885440508,0.937259143,0.802622581,0.897295493,0.888284003,0.914105814,0.56174629,0.656751229,0.941424586,0.812571653,0.853227966,0.861377125,0.863455351,0.874253559,0.884674618,0.896265529,0.88565851,0.872036648,0.681592702,0.721498428,0.937845594,0.906123085,-0.573935881,0.645958172,0.881471509,0.886367935,0.589739848,0.838941855,0.802768777,0.907836851,0.879764823,0.557536536,0.897865169,0.891081379,0.914935681,0.877510494,0.866119138,0.772601789,0.886542825,0.921539438,0.775929385,0.73708638
XLM/USDT,0.706717447,0.311997558,0.602718229,0.636091184,0.734962872,0.651465634,0.682331963,0.768811899,0.748908426,0.734990154,0.687781928,0.552573106,0.569979458,0.691370924,0.63671568,0.761898655,0.622109058,0.635778815,0.779758274,0.636804201,0.612806458,0.662997341,0.588701256,1,0.7212825,0.720275317,0.801317044,0.649134152,0.782008134,0.697440227,0.818718549,0.541307853,0.637475498,0.481912268,0.749205272,0.667596125,0.571737943,0.587382404,0.626946717,0.702678238,0.736126705,0.506961405,0.721251566,0.732776086,0.733176,0.671857607,0.170896343,0.728037875,0.511951467,0.261455419,0.713525482,0.686978768,0.450299051,0.696683745,0.769663419,0.734630903,0.661890053,0.691426761,0.532225949,0.742394149,0.720258718,0.748613084,0.743066872,0.644913348,0.481923846,0.616486914,0.801134681,0.732246742,0.431321359,0.450629304,0.553057538,0.705634286,0.716889663,0.713450223,0.648743506,0.570968659,0.661619343,0.645168836,0.727531596,0.632230908,0.896379342,0.700114374,0.793725905,0.586588697,0.629905895,0.639921141,0.858365158,0.476395674,0.706134337,0.594804992,0.789066383,0.740179215,0.631539855,0.639475104,0.590099683,0.660625066,0.63675368,0.674103321,0.731717837,0.748958129,0.777861683,0.791991528,0.430898058,0.721689196,0.778687283,0.677728623,0.652292778,0.577587115,0.521243448,,0.697657957,0.52784647,0.585010045,0.636053152,0.477680978,0.744334182,0.687947596,0.548379322,0.776339986,0.503628916,0.762031519,0.623148406,0.695349566,0.628012948,0.642853658,0.686739474,0.629677766,0.655094862,0.666792139,0.556689169,0.715343607,0.797156157,0.654451259,0.58711671,0.691557274,0.650206354,0.561606012,0.712095296,0.682331577,0.569862671,0.490791211,0.715277574,0.740539564,0.332994755,0.750439044,0.690775862,0.569504512,0.620894837,0.558480948,0.704446794,0.755846021,0.763861304,0.757195648,0.6394974,0.597334637,0.729573813,0.748564659,0.722078385,0.387912843,0.440724681,0.771087192,0.611512412,0.70603167,0.721000135,0.68720211,0.617088911,0.728897981,0.705542548,0.700218869,0.656781759,0.514882676,0.608363116,0.833254207,0.718839612,-0.470466841,0.772086696,0.650071505,0.661964958,0.464665503,0.556401253,0.649870147,0.74856635,0.69155212,0.494298709,0.611303381,0.642589586,0.771148834,0.717257772,0.578311607,0.624456755,0.657495496,0.528628852,0.642737467,0.595003958
ENJ/USDT,0.734733567,0.334433895,0.666297984,0.669357613,0.790856525,0.74576,0.74049438,0.797352135,0.799256654,0.75326997,0.734691981,0.567803992,0.653189966,0.703042752,0.669919486,0.852801914,0.722276351,0.699680309,0.844076721,0.646677965,0.629115405,0.738199937,0.666422158,0.769663419,0.765480258,0.767612443,0.853430004,0.6924961,0.833814325,0.745898613,0.798019727,0.543233832,0.674332791,0.641431907,0.783794908,0.720424196,0.603768991,0.65263779,0.663657494,0.728544848,0.7742678,0.54726391,0.851982064,0.813211627,0.797202634,0.746719817,0.191404317,0.763392178,0.636929651,0.207341031,0.735235432,0.753703866,0.394009298,0.777990279,1,0.766769688,0.723660124,0.743267536,0.624565686,0.794214695,0.766658807,0.764598831,0.66750077,0.738967343,0.632425052,0.672349309,0.820828894,0.799044182,0.539693493,0.586898989,0.592701858,0.743169615,0.65143918,0.731373363,0.726368267,0.605807728,0.704548323,0.681179813,0.731878192,0.707172018,0.862022592,0.754872506,0.883012016,0.631131658,0.649904377,0.670332851,0.672197406,0.424905057,0.745397956,0.668857433,0.798488877,0.795908911,0.634231856,0.680344895,0.530067449,0.726505005,0.589620667,0.772054747,0.770083376,0.780858716,0.822658844,0.809793745,0.518449809,0.716699238,0.778361127,0.684987844,0.728425079,0.589790149,0.541594481,,0.734205996,0.667156601,0.734488316,0.733963596,0.633926957,0.71996333,0.717250851,0.570293089,0.881858167,0.562191848,0.795468591,0.742133436,0.742378898,0.714162865,0.668557265,0.726288443,0.654323041,0.714767516,0.720021142,0.598290517,0.771793846,0.854417268,0.738814336,0.712576728,0.757865425,0.726956037,0.56572165,0.775140774,0.733574906,0.60302736,0.527005896,0.686570729,0.757984837,0.558765693,0.854164561,0.756695249,0.682943872,0.675571312,0.653379914,0.738343693,0.794614784,0.820726547,0.739026096,0.710655781,0.632043952,0.825603648,0.785211533,0.778602025,0.450808855,0.440555033,0.809337235,0.689286235,0.725746356,0.748819356,0.67847568,0.628429834,0.795889364,0.748952819,0.81479691,0.696577385,0.552003337,0.596301106,0.881466763,0.763723062,-0.455054539,0.775210931,0.719761055,0.758004549,0.593152342,0.634998433,0.7038827,0.885699421,0.774097503,0.52226624,0.628187361,0.665719646,0.807682847,0.769020712,0.627611368,0.672852676,0.680780915,0.619713663,0.684379247,0.723352745
IOTA/USDT,0.752639329,0.318047279,0.638355805,0.647262612,0.794784877,0.742710316,0.76234013,0.806227062,0.81951539,0.752918221,0.73630352,0.578497662,0.622974765,0.711983991,0.686044421,0.814267304,0.726494712,0.687889962,0.833387817,0.643665796,0.621452805,0.741217335,0.671341112,0.777861683,0.766762899,0.775807741,0.869745729,0.654882437,0.806857354,0.712958222,0.821788542,0.705213848,0.665754149,0.42430626,0.783529669,0.73879958,0.590141261,0.657983912,0.670318067,0.75883501,0.796284582,0.524420243,0.776676988,0.801235532,0.791574516,0.713314533,0.245276894,0.78746621,0.590048886,0.232320739,0.768305479,0.737613999,0.371542498,0.768684725,0.822658844,0.748012685,0.711524143,0.741952799,0.624056221,0.833827627,0.766271518,0.788222375,0.765311608,0.698725855,0.515891398,0.675362373,0.816629359,0.775497276,0.521961071,0.601633209,0.603440059,0.73759892,0.645721978,0.758318319,0.714289653,0.612273627,0.707163785,0.703574845,0.711106342,0.718912944,0.78220524,0.741605531,0.854053381,0.620734984,0.654147814,0.637796043,0.670286425,0.393813615,0.734846991,0.687092991,0.820983878,0.802782679,0.659808926,0.685066405,0.52566344,0.716439123,0.600774609,0.767661764,0.760613632,0.815136945,1,0.8104175,0.520147581,0.727429045,0.778026387,0.705872184,0.712838218,0.608667701,0.55890247,,0.763793736,0.656405763,0.696219834,0.722544413,0.633881985,0.776621062,0.77007627,0.606794538,0.808534913,0.591938833,0.801193725,0.757006065,0.74688009,0.723933175,0.664808809,0.743429656,0.662242154,0.728272241,0.73232466,0.630045031,0.817944735,0.860317811,0.70074353,0.775602703,0.748615428,0.6835359,0.533579622,0.788492393,0.719296983,0.650426917,0.529772736,0.732399973,0.755129628,0.443878521,0.797672126,0.787674942,0.663845943,0.68998881,0.636632973,0.746573626,0.83075892,0.794020615,0.779971468,0.687678733,0.656616468,0.872283276,0.804126116,0.788236781,0.504372001,0.461526769,0.808118892,0.697920797,0.729587152,0.742586472,0.68956259,0.698563073,0.812069478,0.768567711,0.813492528,0.681410199,0.591923167,0.623207272,0.890019377,0.790252592,-0.466484233,0.76820717,0.742573036,0.766936926,0.518028203,0.615368844,0.743896605,0.823969112,0.768892538,0.499898437,0.658296675,0.695798206,0.799184294,0.751535395,0.675402356,0.656566539,0.691695731,0.620272917,0.702820219,0.741197842
BNX/USDT,0.65690064,,0.463530353,0.68510504,0.52106062,0.582182784,0.653583691,0.656354793,0.640394852,0.595827431,0.637565,0.231514374,0.612427098,0.626978606,0.625085747,0.648115465,0.610414542,0.704816116,0.677149875,0.515596439,0.450171855,0.570459585,0.531218169,0.541307853,0.575438241,0.702560325,0.883999916,0.46767896,0.656654052,0.587967105,0.635827823,1,0.621677183,0.531990718,0.66073542,0.66355154,0.592721459,0.423819165,0.42708922,0.647632584,0.592599267,0.717670233,0.684976338,0.707401951,0.656264966,0.627037454,0.200588041,0.691831395,0.446737178,,0.672983721,0.674487989,,0.775098165,0.543233832,0.60243044,0.671890717,0.661546176,0.556876003,0.666848818,0.612649077,0.679776609,0.743217585,0.635918616,0.565472306,0.475707373,0.667381467,0.634828136,0.479783004,0.331229132,0.359592356,0.64424492,0.525902073,0.652925026,0.562965406,0.40284478,0.670388626,0.639161788,0.600911701,0.674582305,0.848509039,0.592010023,0.849411827,0.533236143,0.668221795,0.469189594,0.450476359,,0.59615065,0.517612882,0.63806878,0.65628941,0.677926562,0.630498592,,0.605981961,,0.613019301,0.605377962,0.596317088,0.705213848,0.622882324,0.679300944,0.443677762,0.549451082,0.506706684,0.524694863,0.66816336,0.516146123,,0.666388366,0.508439073,0.492948738,0.541278972,0.636069605,0.775723795,0.570173394,0.727470114,0.671042403,0.682403715,0.613388517,0.690591689,0.498815481,0.618707252,0.510883403,0.623029567,0.507522761,0.580913266,0.485374545,0.650158047,0.578714238,0.650963366,0.466530598,0.673796383,0.639813176,0.563332551,0.449697556,0.669303449,0.620977071,0.690985323,0.428178241,0.660775938,0.527235018,0.253275021,0.844507134,0.694184114,0.658183814,0.582434293,0.526295254,0.629278053,0.714050468,0.6169521,0.572273851,0.67979497,0.593997861,0.840198678,0.642935237,0.589963007,0.559303529,0.472806666,0.686892033,0.60295295,0.652388331,0.679557593,0.451683797,0.674935339,0.648407887,0.643099602,0.756540131,0.660146998,0.586324485,0.506549182,0.686333482,0.685105185,-0.225091905,0.517132911,0.509594271,0.46824548,0.588164637,0.604516779,0.723586279,0.899142892,0.638588616,0.518930969,0.376581146,0.313340964,0.661840819,0.687953912,0.608738217,0.606214727,0.687680159,0.563658877,0.508463332,0.512877724
HFT/USDT,0.843544473,,0.810442653,0.777176287,0.910452309,0.74721268,0.785896569,0.854198177,0.861116232,0.741262011,0.863648436,,0.747498025,0.809375976,0.663381694,0.822616312,0.896658243,0.885476625,0.812279817,0.826786639,0.51499483,0.638793024,0.784149194,0.744334182,0.757321954,0.864483373,0.864761731,0.647428703,0.843465802,0.758856904,0.850372673,0.775723795,0.785592263,0.517281309,0.886313713,0.877295362,0.56978245,0.596884039,0.434384434,0.779211737,0.84539977,0.843122521,0.768393846,0.863365725,0.853952155,0.832945836,0.129083102,0.876113831,0.594935532,,0.786361569,0.824245492,,0.841761038,0.71996333,0.844352754,0.860782352,0.802756806,0.817830954,0.867695532,0.783039017,0.822999077,0.698267563,0.789637014,0.655207697,0.835850032,0.827975628,0.89300106,0.810318756,0.59912698,0.400237605,0.809658515,0.632580317,0.860586245,0.812081531,0.612370303,0.846846598,0.842245994,0.763902436,0.886531181,0.923572536,0.806346916,0.896494468,0.825204742,0.857170648,0.729638716,0.733541201,,0.796386234,0.583577045,0.846015131,0.851229642,0.845525055,0.840043779,,0.817785507,,0.885208229,0.809516116,0.866710954,0.776621062,0.773484236,0.858958636,0.748508642,0.776898562,0.52835765,0.689402092,0.807313396,0.666506361,,0.81308719,0.772836094,0.702777614,0.819834958,0.79783321,1,0.819546497,0.810595618,0.833345344,0.734285553,0.823791622,0.854558135,0.740729198,0.841281235,0.748209146,0.821687124,0.575521202,0.764069616,0.709954193,0.709350916,0.805867725,0.825959646,0.854718934,0.85080915,0.738683617,0.824328581,0.797558939,0.879489104,0.81201782,0.900073553,0.754319782,0.777263378,0.749433714,0.22009272,0.807806765,0.858289105,0.744724219,0.86025876,0.710280851,0.909537217,0.884759802,0.746822984,0.719408125,0.800566076,0.668592355,0.842172202,0.856138748,0.714095829,0.596416899,0.399710724,0.836968294,0.894086947,0.845524858,0.781197787,0.799686706,0.749802057,0.804518804,0.837278383,0.879291792,0.875340508,0.704397338,0.812084006,0.889034506,0.864675504,-0.424447911,0.700596096,0.788403621,0.816236284,0.649265389,0.859126023,0.81090413,0.918024615,0.787319247,0.649896203,0.746067142,0.822879885,0.767227749,0.809142903,0.818153574,0.793186275,0.786285351,0.856858769,0.579219502,0.756355213
KEY/USDT,0.512067393,,0.368400233,0.31800152,0.512987781,0.446718064,0.480786061,0.578482554,0.468132035,0.472661144,0.477222506,,0.600745277,0.480092041,0.39458541,0.54803848,0.55696882,0.620812194,0.49425802,0.489041921,0.27758455,0.314916515,0.487203343,0.481912268,0.59065992,0.535064302,0.462544021,0.362995767,0.464765564,0.394951133,0.484568909,0.531990718,0.365414698,1,0.476329529,0.52585677,0.611034005,0.238525102,0.295090011,0.632454813,0.495951457,0.44743801,0.60323007,0.53522228,0.485410228,0.457099632,0.2529427,0.56441141,0.270399479,,0.431422652,0.522234558,,0.331817721,0.641431907,0.495461525,0.488582475,0.539439415,0.557209085,0.514341058,0.430142522,0.456482998,0.312057453,0.539309942,0.253553459,0.54050293,0.560978842,0.465331218,0.543979271,0.255939975,0.174129498,0.566821698,0.4413911,0.425016439,0.486282409,0.684291743,0.568701662,0.57454491,0.589929404,0.525920341,0.779544883,0.48811496,0.55325666,0.396027665,0.51691487,0.301372124,0.416208693,,0.365143483,0.552612045,0.477753201,0.446001283,0.523179891,0.451944706,,0.469030847,,0.53091819,0.560844229,0.475014276,0.42430626,0.461264398,0.572615936,0.465521494,0.347288121,0.159696486,0.392204741,0.524359689,0.515242606,,0.477252069,0.470901774,0.557324513,0.643792384,0.456673978,0.517281309,0.495490176,0.516731388,0.588009707,0.467412367,0.488409917,0.505252869,0.462736818,0.515095591,0.43426301,0.489927235,0.495627224,0.477998928,0.543243232,0.431906069,0.512867396,0.591541779,0.481528948,0.494960197,0.59540194,0.449724059,0.277076083,0.488482952,0.521705348,0.508394209,0.327711667,0.494096318,0.515122599,-0.08648105,0.439219763,0.542829346,0.493033921,0.496959876,0.602934401,0.526815236,0.49629577,0.488910373,0.443219369,0.499387192,0.640776064,0.560202093,0.445337755,0.503573993,0.198650184,0.002733183,0.512241536,0.397624499,0.571543536,0.525236028,0.533424436,0.535353868,0.583019043,0.549622161,0.570556453,0.525574986,0.455988938,0.493856041,0.512803066,0.493639804,-0.539206814,0.232719885,0.488580988,0.49617785,0.303971102,0.594783165,0.426702845,0.577561432,0.442970542,0.273857965,0.455278716,0.526561565,0.496545951,0.571820632,0.578432977,0.690963789,0.588668767,0.510253828,0.558544577,0.685820505
BLUR/USDT,0.740175954,,0.688154159,0.839457353,0.82679359,0.795829835,0.78063975,0.783475705,0.792590635,0.75039328,0.795601642,,0.733791152,0.802919092,0.71313292,0.798539364,0.829637852,0.83306185,0.848779724,0.792488193,0.537584762,0.642285924,0.769266716,0.696683745,0.651858868,0.770660933,0.844120146,0.674730561,0.856811277,0.745842803,0.8156153,0.775098165,0.797548927,0.331817721,0.808961054,0.829909808,0.676677236,0.424151957,0.413947241,0.75164868,0.826814294,0.81652585,0.751355544,0.831063302,0.773513989,0.830495841,0.191101527,0.816511796,0.61005147,,0.741887041,0.861955064,,1,0.777990279,0.733715321,0.834553076,0.788265871,0.733014524,0.835908302,0.809593057,0.815842265,0.718604117,0.771787363,0.601770813,0.76154694,0.782173418,0.846835866,0.774452082,0.549672415,0.251798203,0.788423146,0.639048934,0.818939998,0.758075957,0.444055678,0.774654959,0.791417322,0.781939766,0.81315068,0.843831804,0.765941389,0.835582451,0.764223714,0.830612569,0.614867872,0.694345054,,0.836367258,0.628223099,0.823236849,0.845777513,0.859661587,0.848115148,,0.804669,,0.861594079,0.809965161,0.788275261,0.768684725,0.739574156,0.777144629,0.849526073,0.775191912,0.497180147,0.611194987,0.695323775,0.543919118,,0.823158257,0.688909069,0.641932993,0.807096907,0.797915254,0.841761038,0.724284951,0.743056971,0.775663375,0.703332793,0.800333124,0.83127262,0.75191446,0.75837681,0.782635749,0.795387278,0.593871622,0.721153898,0.693025423,0.765656694,0.762414721,0.760961891,0.82933458,0.79014859,0.783528891,0.792502467,0.854097758,0.821798064,0.772906706,0.817002261,0.649364013,0.734345192,0.788044834,0.239396646,0.785343415,0.817943798,0.717731632,0.772965698,0.665771862,0.838336962,0.857625293,0.860699483,0.780338963,0.795720862,0.726650906,0.784083161,0.807049005,0.809492682,0.626849691,0.506907518,0.807235889,0.850571349,0.787779088,0.743486349,0.745842185,0.76035581,0.776758568,0.765749118,0.836551716,0.776824088,0.673426759,0.702147337,0.831030668,0.797940089,-0.359351093,0.76269422,0.776857274,0.791907513,0.726561678,0.799282856,0.743999343,0.85422262,0.805159543,0.528120752,0.813811356,0.775370415,0.819949953,0.805141066,0.812154372,0.766947104,0.727616521,0.827167681,0.704754241,0.683134662
